FCLTY_NM,RDNMADR_NM,CTPRVN_CD,SIGNGU_CD,FCLTY_LO,FCLTY_LA,AREA_NM,BASE_DE
북촌전통공예체험관,서울특별시 종로구 북촌로12길 24-5,11,11110,126.98601,37.582469,서울,2021-12-31
하늘물빛 전통 천연염색 연구소,서울특별시 종로구 북촌로15길 48,11,11110,126.983362,37.58487,서울,2021-12-31
보은,서울특별시 종로구 서순라길 41,11,11110,126.993347,37.572387,서울,2021-12-31
성종사,서울특별시 종로구 우정국로 43,11,11110,126.982756,37.572863,서울,2021-12-31
갤러리미르,서울특별시 종로구 율곡로1길 40,11,11110,126.98071,37.577621,서울,2021-12-31
우리미,서울특별시 종로구 인사동10길 12,11,11110,126.985626,37.574105,서울,2021-12-31
보미전통민속장신구,서울특별시 종로구 인사동10길 25,11,11110,126.986356,37.574489,서울,2021-12-31
소리하나,서울특별시 종로구 인사동10길 5,11,11110,126.985308,37.574138,서울,2021-12-31
한국관광명품점,서울특별시 종로구 인사동5길 14,11,11110,126.98535,37.572769,서울,2021-12-31
백제한지,서울특별시 종로구 인사동5길 15-1,11,11110,126.985533,37.572608,서울,2021-12-31
국제자수원 본점,서울특별시 종로구 인사동7길 12 백상빌딩 본관 1층,11,11110,126.985186,37.57311,서울,2021-12-31
은소,서울특별시 종로구 인사동길 12 대일빌딩,11,11110,126.987229,37.571911,서울,2021-12-31
예촌,서울특별시 종로구 인사동길 19-1,11,11110,126.986428,37.572553,서울,2021-12-31
중앙공예관,서울특별시 종로구 인사동길 27,11,11110,126.985991,37.573072,서울,2021-12-31
한국공예관,서울특별시 종로구 인사동길 33,11,11110,126.98551,37.573491,서울,2021-12-31
복희칠보,서울특별시 종로구 인사동길 35-4 신관2층 203호,11,11110,126.98492,37.57354,서울,2021-12-31
지원전통공예,서울특별시 종로구 인사동길 36,11,11110,126.985426,37.573806,서울,2021-12-31
예우리공예관,서울특별시 종로구 인사동길 38-1,11,11110,126.985221,37.573867,서울,2021-12-31
수디자인,서울특별시 종로구 인사동길 44 쌈지길,11,11110,126.979231,37.573175,서울,2021-12-31
가배21,서울특별시 종로구 인사동길 44 쌈지길,11,11110,126.979231,37.573175,서울,2021-12-31
범구사,서울특별시 종로구 인사동길 48,11,11110,126.984455,37.574419,서울,2021-12-31
탈방,서울특별시 종로구 인사동길 48,11,11110,126.984455,37.574419,서울,2021-12-31
백운당,서울특별시 종로구 인사동길 55-2,11,11110,126.983576,37.574961,서울,2021-12-31
한국전통관광명품점,서울특별시 종로구 인사동길 9,11,11110,126.986768,37.571655,서울,2021-12-31
두리한지공방,서울특별시 종로구 인사동길 9 (02-734-6258),11,11110,126.986768,37.571655,서울,2021-12-31
더 보다,서울특별시 종로구 종로 183 a동 1808호,11,11110,126.998679,37.571495,서울,2021-12-31
반채월공방,서울특별시 종로구 종로 198-2,11,11110,126.999666,37.570485,서울,2021-12-31
백의민족공방,서울특별시 종로구 종로 200 종오지하쇼핑센터 나-특호,11,11110,126.99989,37.570685,서울,2021-12-31
아름칠보 종오지하쇼핑센터점,서울특별시 종로구 종로 200 종오지하쇼핑센터 사-9A,11,11110,126.99989,37.570685,서울,2021-12-31
고전아트,서울특별시 종로구 종로 202-1,11,11110,127.000219,37.570634,서울,2021-12-31
소곤이,서울특별시 종로구 종로 208,11,11110,127.000852,37.570702,서울,2021-12-31
현대매듭,서울특별시 종로구 창경궁로 109 세운스퀘어,11,11110,126.997007,37.572093,서울,2021-12-31
머믈다,서울특별시 종로구 창경궁로 297-2,11,11110,127.002781,37.587334,서울,2021-12-31
전통사랑,서울특별시 종로구 창경궁로 88,11,11110,127.000043,37.570299,서울,2021-12-31
실타래,서울특별시 종로구 창경궁로 88,11,11110,127.000043,37.570299,서울,2021-12-31
공예가,서울특별시 종로구 청계천로 211,11,11110,127.001045,37.569794,서울,2021-12-31
우신공예,서울특별시 중구 난계로11길 9,11,11140,127.022901,37.565751,서울,2021-12-31
색동칠보,서울특별시 중구 남대문로 14,11,11140,126.977215,37.560814,서울,2021-12-31
더윤칠보,서울특별시 중구 남대문로 14 남대문로지하쇼핑센터 남대문지하도상가 27호,11,11140,126.977215,37.560814,서울,2021-12-31
신세기공예사,서울특별시 중구 남대문시장4길 3,11,11140,126.977724,37.560052,서울,2021-12-31
태극옻칠공예,서울특별시 중구 남대문시장4길 3 중앙상가 3층 23  24호,11,11140,126.977724,37.560052,서울,2021-12-31
제일토산품,서울특별시 중구 남대문시장길 29,11,11140,126.977617,37.560385,서울,2021-12-31
샵오브코리아,서울특별시 중구 서소문로 22,11,11140,126.964499,37.559532,서울,2021-12-31
꼬레아 소공지하쇼핑센터점,서울특별시 중구 소공로 102 소공지하쇼핑센터 31-1,11,11140,126.979665,37.563763,서울,2021-12-31
샘물 소공지하쇼핑센터점,서울특별시 중구 소공로 102 소공지하쇼핑센터 64,11,11140,126.979665,37.563763,서울,2021-12-31
꼬레아 나전칠기,서울특별시 중구 소공로 106,11,11140,126.980164,37.564498,서울,2021-12-31
명인명장 한수,서울특별시 중구 을지로 281,11,11140,127.009765,37.566984,서울,2021-12-31
아리랑칠보,서울특별시 중구 을지로 30 롯데호텔 내 2층,11,11140,126.980921,37.564657,서울,2021-12-31
덕수기획,서울특별시 중구 을지로16길 27 서일빌딩,11,11140,126.993456,37.565152,서울,2021-12-31
아리랑전통공예,서울특별시 중구 장충단로 263,11,11140,127.008494,37.568109,서울,2021-12-31
반달나전공예 옻칠공방,서울특별시 중구 퇴계로36길 21 필동감리교회,11,11140,126.994499,37.5608,서울,2021-12-31
예림공예사,경기도 고양시 덕양구 고양대로 1306,41,41280,126.829345,37.656444,경기,2021-12-31
전시모형 유물복제,경기도 고양시 덕양구 대주로 480,41,41280,126.824072,37.656626,경기,2021-12-31
미도규방,경기도 고양시 덕양구 통일로1258번길 152-11,41,41280,126.852251,37.72693,경기,2021-12-31
한송공방,경기도 고양시 덕양구 호국로1427번길 99,41,41280,126.89232,37.684884,경기,2021-12-31
이조전통옹기,경기도 고양시 일산동구 고일로 24,41,41285,126.804598,37.671756,경기,2021-12-31
예림공방,경기도 고양시 일산동구 압도길 347-12,41,41285,126.76244,37.652058,경기,2021-12-31
코리아하우스,경기도 고양시 일산동구 일산로 30 효성레제스오피스텔,41,41285,126.786739,37.641471,경기,2021-12-31
허씨공방,경기도 고양시 일산동구 일산로380번길 43-23,41,41285,126.783693,37.671191,경기,2021-12-31
미소공방,경기도 고양시 일산동구 중산로 241 해태쇼핑 116호,41,41285,126.78014,37.693697,경기,2021-12-31
공예문화예술원 K ART,경기도 고양시 일산서구 주엽로 150 자유프라자 904호,41,41287,126.758981,37.671943,경기,2021-12-31
옥수공예,경기도 구리시 체육관로 110 구리일성아파트,41,41310,127.137734,37.594434,경기,2021-12-31
박씨상방,경기도 김포시 고촌읍 아라육로57번길 97,41,41570,126.79653,37.591484,경기,2021-12-31
가야전통이조공예사,경기도 김포시 통진읍 율마로300번길 121-39,41,41570,126.601982,37.680737,경기,2021-12-31
아트플러스,경기도 남양주시 경춘로1015번길 3 삼미빌딩304호,41,41360,127.214047,37.635306,경기,2021-12-31
삼원장식,경기도 남양주시 오남읍 양지로319번길 47,41,41360,127.188432,37.699584,경기,2021-12-31
답소하이,경기도 남양주시 와부읍 팔당로81번길 18-40 쉬어가는집,41,41360,127.243537,37.548278,경기,2021-12-31
창안아트,경기도 남양주시 진건읍 사릉로264번길 18,41,41360,127.192571,37.650416,경기,2021-12-31
아리지안,경기도 남양주시 화도읍 가구단지6길 1-6,41,41360,127.279243,37.652599,경기,2021-12-31
이레공예,경기도 남양주시 화도읍 가구단지8길 18-32,41,41360,127.283642,37.651274,경기,2021-12-31
다산공예,경기도 남양주시 화도읍 가구단지중앙길 49,41,41360,127.285429,37.652808,경기,2021-12-31
송당송당,경기도 부천시 부흥로414번길 17 2층,41,41190,126.785926,37.488523,경기,2021-12-31
